	Protein IDs	1	5	8	11	13	22
0	A2M|a2m.S|gene50021|rna96284	4554.4	2725.2	3769.65	5347.45	6967.6	6949.7
1	A2M|LOC100036845|gene8511|rna24779;A2M|LOC100036845.L|gene26403|rna65906	31675.25	26897.0	25534.5	33905.0	22750.0	20743.0
2	A2M|LOC108695711|gene1010|rna2960	315060.0	135540.0	211245.0	98718.5	255170.0	253930.0
3	A2M|ovos2.L|gene16891|rna49367	1491550.0	631135.0	797292.5	351090.0	578490.0	664200.0
4	A2M|pzp-like.2.L|gene15410|rna44977	16565.75	10185.0	15876.75	13328.0	17548.0	19868.0
5	A2ML1|a2ml1.L|gene43170|rna86438	47172.5	59024.0	46891.0	87992.5	23835.0	28046.0
6	A2ML1|LOC108696029|gene40222|rna82125	283565.0	99046.0	255515.0	128715.0	420860.0	429350.0
7	A2ML1|LOC108697325|gene43691|rna87209	90027.0	66541.0	90082.5	82941.5	106950.0	106380.0
8	A2ML1|MGC68875|gene10127|rna29450	56330.0	0.0	50670.0	0.0	111350.0	99575.0
9	AAAS|aaas.L|gene14659|rna42724	55065.25	33624.0	62914.5	40172.0	90961.0	72386.0
10	AADACL4|aadacl4.S|gene5773|rna16886	17589.875	2273.0	21672.4	3246.25	52868.0	50512.0
11	AAGAB|aagab.L|gene1693|rna4935;AAGAB|aagab.S|gene11287|rna32826	4788.325	8036.799999999999	4127.15	10255.2	0.0	0.0
12	AAK1|aak1.S|gene4997|rna14603	3085.7749999999996	4251.299999999999	1872.45	5288.0	0.0	0.0
13	AAMP|aamp.L|gene3807|rna11094;AAMP|aamp.S|gene8875|rna25835	60763.25	47058.5	65075.5	71451.5	91126.0	92791.0
14	AARS|aars.L|gene5928|rna17353	3952600.0	1916750.0	4185325.0	2669900.0	7185800.0	6812900.0
15	AARS2|aars2.L|gene739|rna2153	7092.3	11001.5	7086.9	14409.0	3972.3	3636.8
16	AARSD1|aarsd1.L|gene5048|rna14755	144153.0	69980.5	141820.0	93491.0	214080.0	213580.0
17	AASS|aass.L|gene41776|rna84338	561130.0	457255.0	583362.5	646125.0	742000.0	647660.0
18	ABAT|abat.S|gene9728|rna28294	28841.0	9365.4	30445.05	14011.0	65055.0	57061.0
19	ABAT|MGC68458|gene43390|rna86771	224712.5	123017.0	238770.0	164875.0	382890.0	354090.0
20	ABCB1|LOC108696199|gene18105|rna52915	444.76	0.0	523.0	0.0	1030.1	966.81
